DRIVER_ID,DRIVER,DRIVER_CODE,CONSTRUCTOR_ID,CONSTRUCTOR,RACE_ID,RACE,YEAR,AVG_LAP_TIME,GAP_TO_FASTEST
832,Carlos Sainz,SAI,1,McLaren,1033,Hungarian Grand Prix,2020,83977.797101,1.513897101000
39,Narain Karthikeyan,KAR,164,HRT,844,Turkish Grand Prix,2011,98667.963636,5.261791222000
813,Pastor Maldonado,MAL,3,Williams,845,Spanish Grand Prix,2011,92770.476923,2.720461771000
15,Jarno Trulli,TRU,205,Lotus,847,Canadian Grand Prix,2011,213946.550725,97.302265011000
153,Jaime Alguersuari,ALG,5,Toro Rosso,849,British Grand Prix,2011,103852.000000,1.521307692000
4,Fernando Alonso,ALO,6,Ferrari,856,Korean Grand Prix,2011,107230.600000,0.285254545000
17,Mark Webber,WEB,9,Red Bull,860,Australian Grand Prix,2012,97484.689655,2.267689655000
819,Charles Pic,PIC,206,Marussia,860,Australian Grand Prix,2012,102463.905660,7.246905660000
154,Romain Grosjean,GRO,208,Lotus F1,861,Malaysian Grand Prix,2012,133715.333333,0.000000000000
17,Mark Webber,WEB,9,Red Bull,862,Chinese Grand Prix,2012,103836.660714,0.498642857000
20,Sebastian Vettel,VET,9,Red Bull,862,Chinese Grand Prix,2012,103882.357143,0.544339286000
30,Michael Schumacher,MSC,131,Mercedes,866,Canadian Grand Prix,2012,81073.883721,1.794083721000
5,Heikki Kovalainen,KOV,207,Caterham,874,Japanese Grand Prix,2012,103386.673077,2.702861756000
17,Mark Webber,WEB,9,Red Bull,879,Brazilian Grand Prix,2012,89121.014085,3.800014085000
817,Daniel Ricciardo,RIC,5,Toro Rosso,879,Brazilian Grand Prix,2012,90471.242857,5.150242857000
818,Jean-Éric Vergne,VER,5,Toro Rosso,879,Brazilian Grand Prix,2012,89455.056338,4.134056338000
823,Giedo van der Garde,VDG,207,Caterham,885,Monaco Grand Prix,2013,106854.435897,22.564757326000
807,Nico Hülkenberg,HUL,15,Sauber,888,German Grand Prix,2013,102076.716667,1.718383334000
817,Daniel Ricciardo,RIC,5,Toro Rosso,890,Hungarian Grand Prix,2013,89853.768116,2.004553830000
814,Paul di Resta,DIR,10,Force India,893,Singapore Grand Prix,2013,118837.444444,2.076879227000
